base_currency,target_currency,rate,rate_date,source,extracted_at,run_date
USD,ARS,1435.8402487235,2026-01-19,currencyapi,2026-01-20 03:14:44.724467+00:00,2026_01_19
USD,BRL,5.3702010058,2026-01-19,currencyapi,2026-01-20 03:14:44.724500+00:00,2026_01_19
USD,CLP,888.7501096039,2026-01-19,currencyapi,2026-01-20 03:14:44.724506+00:00,2026_01_19
USD,EUR,0.8591801394,2026-01-19,currencyapi,2026-01-20 03:14:44.724510+00:00,2026_01_19
USD,MXN,17.6000017732,2026-01-19,currencyapi,2026-01-20 03:14:44.724515+00:00,2026_01_19
USD,PEN,3.3593004312,2026-01-19,currencyapi,2026-01-20 03:14:44.724520+00:00,2026_01_19
