country_code,country_name,inflation_rate,year,source,extracted_at
ARG,Argentina,219.883929014578,2024,world_bank,2026-01-20 03:20:54.382721+00:00
BRA,Brazil,4.36746407652337,2024,world_bank,2026-01-20 03:20:55.079033+00:00
CHL,Chile,4.29763891572524,2024,world_bank,2026-01-20 03:20:55.959486+00:00
MEX,Mexico,4.72225588452932,2024,world_bank,2026-01-20 03:20:56.538114+00:00
PER,Peru,2.00770739412712,2024,world_bank,2026-01-20 03:20:57.145584+00:00
USA,United States,2.94952520485207,2024,world_bank,2026-01-20 03:20:57.758962+00:00
