base_currency,target_currency,rate,rate_date,source,extracted_at
BTC,USD,92416,2026-01-19,coingecko,2026-01-20 03:18:33.371746+00:00
BTC,ARS,132709656,2026-01-19,coingecko,2026-01-20 03:18:33.371746+00:00
BTC,EUR,79347,2026-01-19,coingecko,2026-01-20 03:18:33.371746+00:00
BTC,BRL,496284,2026-01-19,coingecko,2026-01-20 03:18:33.371746+00:00
BTC,CLP,82046168,2026-01-19,coingecko,2026-01-20 03:18:33.371746+00:00
BTC,MXN,1625391,2026-01-19,coingecko,2026-01-20 03:18:33.371746+00:00
BTC,PEN,309983,2026-01-19,coingecko,2026-01-20 03:18:33.371746+00:00
